dest,packets,traffic_in_bytes
63.140.50.133,5,390
63.140.50.20,5,390
34.104.30.1,5,390
20.72.205.209,6,388
151.101.193.91,6,388
151.101.65.91,6,388
34.107.243.93,6,388
23.193.119.160,6,388
23.193.119.141,6,388
3.168.86.6,5,370
57.144.176.144,5,370
192.178.164.188,5,370
52.51.15.133,5,370
13.225.158.91,5,370
13.225.158.38,5,370
192.178.209.188,5,370
ff02::1:ff78:7cc7,4,344
ff02::1:ff69:4877,4,344
18.155.202.13,4,327
34.107.238.235,4,312
199.103.24.8,4,312
3.168.86.26,4,296
3.168.86.13,4,296
3.168.86.39,4,296
52.182.143.209,4,296
44.242.23.53,4,296
52.168.117.170,4,296
34.243.68.253,4,296
23.62.20.77,4,272
ff02::1:fffb:6b1,3,258
ff02::1:ff4e:2a6c,3,258
ff02::1:fff0:a50c,3,258
23.192.46.195,3,234
23.192.46.145,3,234
23.192.46.120,3,234
23.192.46.123,3,234
23.53.3.148,3,234
57.144.252.36,3,234
13.225.158.2,3,222
13.112.191.225,3,222
192.168.100.108,2,196
192.168.100.107,2,196
192.168.100.106,2,196
192.168.100.110,2,196
23.62.20.108,3,194
52.168.117.168,3,194
142.251.42.163,3,194
92.223.95.95,3,194
23.219.69.110,3,194
132.196.74.211,3,194
130.213.27.179,3,194
135.233.45.220,3,194
103.131.151.30,2,180
45.76.211.39,2,180
151.248.68.194,2,180
167.179.119.205,2,180
ff02::1:ffce:2b03,2,172
23.216.153.94,2,156
23.216.153.73,2,156
23.216.153.70,2,156
23.216.153.71,2,156
23.216.153.72,2,156
23.216.153.93,2,156
23.53.3.145,2,156
23.216.153.95,2,156
117.46.16.167,2,156
74.125.204.188,2,148
17.253.75.133,2,140
183.79.253.220,2,138
23.51.14.136,2,134
23.62.20.96,2,134
52.12.246.69,2,132
98.82.161.174,2,132
52.6.49.69,2,132
57.144.176.192,2,120
192.168.100.109,1,98
ff02::1:ff2a:df8a,1,86
ff02::1:ffe3:fd72,1,86
ff02::1:fff7:5042,1,86
23.53.3.135,1,78
23.63.233.54,1,78
23.53.3.150,1,78
23.63.233.52,1,78
23.53.3.132,1,78
23.63.233.8,1,78
34.95.101.116,1,78
23.53.3.144,1,78
23.63.233.48,1,78
23.53.3.139,1,78
23.63.233.51,1,78
23.63.233.17,1,78
23.63.233.58,1,78
23.63.233.56,1,78
18.161.232.61,1,78
18.161.232.128,1,78
